samp	otu_samp_count	out_means	out_means_log	per_occ	tax	Taxon.Level	Trophic.Mode	Guild	Confidence.Ranking	Growth.Morphology	Trait	Notes	Citation.Source
OTU_dn_1	48	1778.03658536585	7.48326499255836	29.2682926829268	k__Fungi; p__Ascomycota	-	-	-	-	-	-	Unassigned	-
OTU_dn_10	26	28.3536585365854	3.3447560707572	15.8536585365854	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__unidentified; s__unidentified	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU_dn_110	98	8.56707317073171	2.14792615394365	59.7560975609756	k__Fungi; p__Ascomycota	-	-	-	-	-	-	Unassigned	-
OTU_dn_1165	11	115.341463414634	4.74789697593957	6.70731707317073	k__Fungi; p__Ascomycota	-	-	-	-	-	-	Unassigned	-
OTU_dn_124	96	33.6036585365854	3.51463494605904	58.5365853658537	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales	-	-	-	-	-	-	Unassigned	-
OTU_dn_124	96	33.6036585365854	3.51463494605904	58.5365853658537	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales	-	-	-	-	-	-	Unassigned	-
OTU_dn_13	98	33.8231707317073	3.52114609223104	59.7560975609756	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Didymella	13	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
OTU_dn_13	98	33.8231707317073	3.52114609223104	59.7560975609756	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Didymella	13	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
OTU_dn_14	5	29.7256097560976	3.39200895560775	3.04878048780488	k__Fungi; p__Ascomycota	-	-	-	-	-	-	Unassigned	-
OTU_dn_146	110	38.5914634146341	3.65303109695111	67.0731707317073	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales	-	-	-	-	-	-	Unassigned	-
OTU_dn_146	110	38.5914634146341	3.65303109695111	67.0731707317073	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales	-	-	-	-	-	-	Unassigned	-
OTU_dn_1508	108	21.7134146341463	3.07793025545358	65.8536585365854	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	NULL	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
OTU_dn_1508	108	21.7134146341463	3.07793025545358	65.8536585365854	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	NULL	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
