	FSS19F	JC2F	FUR1F	FSS217F	FSS221F	BAT4F	FUR5F	BRD2F	BAT1F	CLC5F	BRD3F	CLC2F	FS4F	CLC11F	FSS13F	FSS10F	FSS4F	FSS16F	FSS22F	JC8F	CLC8F	FS10F	FS7F	JC4F	FSS12071110	FSS1207114	FSS12071122	FSS1109241	FSS12071222	FSS11092467	FSS12071213	FSS12071216	FSS11092468	FSS1207111	FSS12071119	FSS11092477	FSS11092470	FSS12071204	FSS12071207	FSS12071201	FSS12071113	FSS1109245	FSS11092474	FSS12071219	FSS12071228	FSS12071210	FSS12071116	FSS1207117	FSS12071225	ELMA13081416	ELMA1308141	ELMA13081418	ELMA13081411	ELMA13081417	ELMA1308143	ELMA1308145	ELMA1308146	ELMA1308142	ELMA1308144	PARA14052533	ELMA14061233	PARA14052625	FS14050225	JC14041816	FSS14050317	ELMA14060527	ELMA14060517	ELMA14061217	PARA14052525	PARA14052513	ELMA1406055	JC1404181	ELMA14060518	ELMA14061221	ELMA1406121	PARA14052613	PARA1405269	PARA1405295	ELMA1406059	ELMA14060540	FSS1405039	FS1405021	PARA1405291	ELMA14060547	PARA14052529	PARA1405251	JC1404186	PARA1405261	ELMA14060522	PARA1405259	FSS14050313	PARA1405265	BAT1404181	PARA14052517	CLC1404207	FS1405029	ELMA14060523	ELMA1406125	PARA1405299	JC14041811	PARA1405241	BRD1404191	FS14050221	FS14050217	ELMA14061229	FSS1405021	PARA14052617	PARA14052813	PARA14052917	ELMA14060531	FSS1405035	PARA14052913	PARA14052629	ELMA1406051	FW1404211	ELMA14060544	PARA1405255	ELMA14061225	PARA14052921	PARA14052925	PARA1405285	ELMA14060513	PARA14052621	FS1405025	CLC1404201	ELMA14060532	PARA1405281	ELMA1406129	ELMA14061213	ELMA14060536	FS14050213	FSS1405031	ZL1404181	PARA1405289	PARA14052521	RSS14062113	CC14062037	CC14062013	CC14062025	CC1406201	CC14062017	RSS1406241	CC1406205	CC1406209	CC14062021	RSS1406215	RSS1406211	RSS1406245	WCS1406239	CC14062033	WCS1406235	WCS14062313	WCS1406231	CC14062029	RSS1406219	TOR14050437	TOR14050413	TOR14050441	TOR14050445	TOR14050425	TOR1405041	TOR1405049	TOR14050421	TOR14050429	TOR14050417	TOR14050433	TOR1405045	TOR14050449	CRY14050521	CRY14050513	CRY1405051	CRY1405059	CRY14050517	CRY1405055
k__Fungi;Other;Other;Other;Other	0	0	0.007199322	0.000104262	0	0	0	0	0.0002287	0	0	0	0.002134529	0	0	0	0.000339547	0.007613834	0.007185762	0	0	0	0	0	0.001195624	0	0	2.91816E-05	0.00010118	0	0	0.000452328	0	0	0.000343203	0	0	0	0	0	0.002267927	0	0.001186967	0	0	0	0	0.000222537	0	0	0	0	0.000507589	0	0	0	0	0.001587019	0	0.000362731	8.13267E-05	0	0.010830671	0	0.00419476	0.00015373	0	0	0	0	0	0	0.000853199	0.000279835	9.05218E-05	0.000357769	0	0.000193475	0.06279894	0	0.005308506	0.001141365	0	0.001354582	0.000246139	0	0	0	5.26723E-05	0	0.000738061	0	0.001007242	6.55148E-05	0	0.001552511	0.000426065	0	0.00013965	0	0.000442708	0	0.000236961	0.001520875	0	0	0	0.000486525	0.001192518	0.000922659	0.000371856	0.00080484	0	0.000956848	0.000322581	0	0	0.00240485	0.000294968	0.000139012	0.003568513	0	0	0.013482759	0.007118928	0.000543131	0	0	0.001863581	0	0.002858922	0	0.000387244	0	0	0	0.02817514	0.000173351	0	0.000129163	0	0	0.008670905	0.000168511	0.10544021	0	0	0	0.000819936	0	0	0	0.002771296	0.002592946	0	0.000422579	0	0.000584326	0.001600859	0.002122693	0	0	0	0.00338967	0.002119816	0.000964286	0.001623292	0.000426659	0.003850094	0.000483794	0.001184246	0.000672435	0.003192488	0.001743838
k__Fungi;p__Ascomycota;Other;Other;Other	0.057210712	0.332003763	0.150609825	0.261698865	0.08534413	0.887899599	0	0.026367801	0.139278027	0.947908663	0.030424827	0.454214477	0.163443946	0.075652174	0.398734177	0.064148437	0.033954727	0.156591192	0.075261402	0.137837838	0.069479932	0.749857482	0.007956318	0.0102	0.037462881	0.008995363	0.015527157	0.098677672	0.013456998	0.017680991	0.036931386	0.014700665	0.001032563	0.026274552	0.00960969	0.001358189	0.013098827	0.048300289	0.033042895	0.026088667	0.013182324	0.001516165	0.004945694	0.047551079	0.001000561	0.035046854	0.012833254	0.011460674	0.009005168	0.019201807	0.008697479	0.010144033	0.347190843	0.043060686	0.007136781	0.1197	0.087560739	0.179106468	0.029368771	0.019587482	0.952986764	0.570318937	0.989089457	1.010740642	0.963293054	0.015834213	0.463313609	0.065870841	1.010358016	0.768593459	0.054848222	0.236660698	0.114755332	0.040296296	0.967678381	0.073700456	0.772096996	0.055333839	0.929238925	0.322653061	0.962019314	0.030816859	0.833220779	0.024963005	0.405637066	0.090202282	0.737223751	0.112928571	0.99239969	0.397059467	0.057568741	0.062109777	0.204134299	0.980035969	0.031338939	0.186922374	0.038345865	0.047126244	0.859263417	0.351879804	0.067734375	0.062344404	0.809222906	0.041824056	0.082366684	0.018771384	0.574009084	0.040381588	0.089637568	0.083270014	0.014874225	0.079947396	0.728082902	0.114183865	0.056129032	0.34444977	0.297435115	0.032980802	0.083475998	0.952440204	0.154040816	0.052187721	0.029661941	0.052758621	0.021641541	0.061916933	0.087014218	0.063255814	0.115542022	0.055097907	0.004129555	0.014911243	0.04453303	0.228482782	0.081670711	0.372873057	0.01408757	0.003467029	0.010014368	0.57994175	0.004367758	0.546546769	0.814461857	0.000505534	0.004467806	0.022727789	0.005840708	0.005880624	0.006559486	0.012926118	0.587387121	0.004793926	0.008965958	0.590543375	0.032241993	0.958726049	0.982034273	0.913068286	0.97332232	0.998219327	0.978396059	0.563203056	0.980571882	0.994625902	0.979907834	0.99675	0.998037821	0.988000558	0.979390671	0.993552569	0.901302135	0.997221261	0.892756539	0.990500071
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae	0.00128853	0	0.019006211	0.000104262	0	0	0	0	0.001372197	0	0	0.001367292	0	0	0.037974684	0	0	0.000761383	0.00945495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000598065	0	0	0	0	0	0.001813656	0.000162653	0	0	0	0	0	0	0.001197652	0	0.000271204	0.000442324	0	0	0.000279835	9.05218E-05	0	0	0	0.000154487	0.000253858	0	0	0.000120425	0.002515652	0	0.001058091	0.005348014	0	0	0.000744254	0.001845152	0.112847341	0	0	0	0	0.002556391	0	0	0	0.002213542	0.01451856	0	0	0	0.002115086	0	0.001459575	0	0	0	0	0	0.000318949	0.007741935	0.001692166	0.006229008	0.00309195	0.008259109	0	0	0.000719831	0.014830971	0	0	0	0.00028436	0	0.000621194	0	0	0	0.001161731	0.003129901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001106291	0.000163017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;Other;Other	0.071384538	0.007196613	0.240457369	0.003023612	0.019959514	0	0	0.009679319	0	0.000924248	0.016902682	0.005469169	0.000304933	0.027717391	0.003291139	0	0.016298269	0.01472008	0.008698554	0	0.011820237	0	0.063650546	0.0714	0.000797083	0.015672334	0.004408946	0.01955169	0.007082631	0.016343773	0.004896979	0.053940133	0	0.034704304	0.024195828	0	0.028855388	0.03200385	0.001367292	0.006288038	0.064635909	0	0.006132661	0.039185612	0.068181054	0.002730924	0.194366937	0.009457838	0.133540052	0.011828313	0.005168067	0.00244856	0.03400846	0.069973615	0.002798738	0.0006	0.030398445	0.018817515	0.010166113	0.017773826	0.001626535	0.000225914	0	0	0.000103574	0.000461191	0.003550296	0.047107632	0.000110827	0.010848179	0.006634866	0	0.01706399	0.032740741	0.000362087	0.180315679	0	0.002128225	0.000540704	0.018531608	0.000589834	0.045654606	0.004455726	0.008514513	0.045535714	0.002909751	0.000267401	0.020642857	0.000316034	0.044469172	0.031367583	0.00787307	0.004028966	0.000196544	0.010886158	0.005278539	0.020877193	0.000534311	0.001675794	0.000356394	0.027447917	0.029321797	0.008649088	0.08694334	0.015799898	0.010046656	0	0.005108514	0.025042868	0.007842605	0.039044841	0.015560231	0.000777202	0.027748593	0.234516129	0.003196313	0.094992366	0.029545301	0.005014459	0.000278024	0.007137026	0.022674665	0.034852781	0.214551724	0.083149079	0.097763578	0.001706161	0.025478036	0.021120585	0.030648211	0.151205232	0.005680473	0.030979499	0.055990453	0.055507799	0.0016834	0.003596826	0.070554045	0.002686782	0.001033304	0.000256927	0.000945583	0.001734181	0.015840079	0	0.002171445	0.009734513	0.001153064	0.010659164	0.000258522	0.001698742	0.010694143	0.007172767	0	0.000427046	0	0	0	0	0	0	0	0	9.68477E-05	0	0	0	0	0.000641682	0	0	8.40544E-05	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010238394	0	0	0	0	0	0	0	0	0	0.000842975	0	0	0	0	0.000404762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000637899	0	0	0	0	0	0	0.019626822	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000707106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Aplosporellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001141365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004055666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018758621	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014041468	0	0	0	0	0	0.005223856	0	0.000434289	0.005840708	0	0	0	0	0	0.000489052	0	0.000640569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae	0	0	0	0	0.000688259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002356112	0	0	0	0	0	0.006310791	0	0	0	0	0.000658915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000884649	0	0	0.000279835	0.000271565	0	0	0	0	0	0	0.001902275	0	0	0	0	0	0	0	0	0.005535456	0	0	0	0.000329884	0	0	0	0	0	0	0	0.002843536	0.00278827	0	0.000528771	0	0	0	0.000691995	0.001859278	0	0	0	0	0	0.003114504	0.0013742	0	0	0	0	0	0	0	0.003801917	0	0	0	0.002066172	0.005717845	0.00035503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000884956	0	0.000819936	0	0	0	0.000326035	0	0	0	0	0	0	0	0	0	0	0	0	0	9.54877E-05	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriales_fam_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001119342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000271204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000984556	0	0	0.000809524	0.000105345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000243263	0	0.000230665	0	0	0	0	0	0	0	0	0	0	0.002379009	0	0	0	0	0	0	0.007028424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;Other	0.239151086	0.015832549	0.24160926	0.018141674	0.058502024	0.004622625	0.000227526	0.107807592	0.036820628	0.005730337	0.026429647	0.022970509	0.007013453	0.077608696	0.012658228	0	0.036671105	0.071823837	0.045005562	0	0.005189373	0	0.012730109	0.0663	0.002391248	0.007511592	0.00028754	0.021433905	0.001922428	0	0	0.00667184	0	0.006130729	0.00429004	0.022895187	0.002657733	0.002356112	0.008431635	0.00715766	0.003118399	0	0.000593483	0.010860432	0.003001682	0.005461847	0.007634974	0.01012545	0.002855297	0.014593373	0.007058824	0.001399177	0.030455337	0.023623571	0.005457539	0.0015	0.016851312	0.04375639	0.006495017	0.022489331	0.026349864	0	0	0	5.17872E-05	0.009223813	0.054674556	0.025549902	0.000166241	0.005966498	0.041136167	0.001978514	0.270037641	0.047292181	0.002172524	0.272977902	0	0.000580425	0.002085574	0.043663514	0.000412884	0.012174562	0.000842975	0.087854297	0.015999035	0.002116183	0.00360991	0.069619048	0.001106119	0.001674571	0.003690304	0.038782161	0.053048058	0.000524118	0.031998706	0.000465753	0.211328321	0.000213724	0.00572563	0.004157932	0.085	0.023058889	0.000118481	0.008871769	0.333869985	0.011897356	0.000121922	0.001459575	0.019875292	0.013378562	0.001859278	0.014487112	7.77202E-05	0.245590994	0.016451613	0.021058065	0.008564885	0.183455709	0.011503759	6.9506E-05	0.053527697	0.011157375	0.305888768	0.168827586	0.002847571	0.13686901	0.043222749	0.159457364	0.195054811	0.037535449	0.015247586	0.011005917	0.219179954	0.035472213	0.198696707	0	0	0.000693406	0	0	0	9.45583E-05	0	0.000168511	0.003127464	0.000723815	0.001946903	0.009916346	0	0	0	0.002950108	0.004238453	0.000162059	0.000854093	0	0	0	0	0	0	0.000149868	0	0	0	0	0	0	0	0	0	0	0.000228035	0.00014532
