SampleID	Original_name	Temp_regress_degC	Temp_ori	other_temp
BAT1404181	BAT140418.1	11.7	11.7oC	
BAT1F	BAT1B	5.5	5.5oC	
BAT4F	BAT4B	5.5	5.5oC	
BRD1404191	BRD140419.1	7.4	N/A	6.0, 6.1, 7.4, 7.1, 7.7oC
BRD2F	BRD2F	5.8	5.8oC	
BRD3F	BRD3B	5.3	5.3oC	
CC1406201	CC140620.1	16.3	16.3oC	
CC14062013	CC140620.13	16.3	16.3oC	
CC14062017	CC140620.17	16.3	16.3oC	
CC14062021	CC140620.21	16.3	16.3oC	
CC14062025	CC140620.25	16.3	16.3oC	
CC14062029	CC140620.29	16.3	16.3oC	
CC14062033	CC140620.33	16.3	16.3oC	
CC14062037	CC140620.37	16.3	16.3oC	
CC1406205	CC140620.5	16.3	16.3oC	
CC1406209	CC140620.9	16.3	16.3oC	
CLC11F	CLC11B	2.8	2.8oC	2.2, 1.6,oC
CLC1404201	CLC140420.1	3.5	N/A	3.3, 3.5, 3.9, 2.9, 3.9
CLC1404207	CLC140420.7	4.5	N/A	3.3, 3.5, 3.9, 2.9, 3.10
CLC2F	CLC2B	2.2	N/A	2.8, 2.2, 1.6oC
CLC5F	CLC5B	2.2	2.2oC	2.8, 1.6 oC
CLC8F	CLC8B	1.6	1.6oC	2.8, 2.2 oC
CRY1405051	CRY140505.1	9.4	9.4 oC	
CRY14050513	CRY140505.13	9.4	9.4 oC	
CRY14050517	CRY140505.17	9.4	9.4 oC	
CRY14050521	CRY140505.21	9.4	9.4 oC	
CRY1405055	CRY140505.5	9.4	9.4 oC	
CRY1405059	CRY140505.9	9.4	9.4 oC	
ELMA1308141	ELMA130814.1	17	17.0oC (Soil)	
ELMA13081411	ELMA130814.11	17	17.0oC (Soil)	
ELMA13081416	ELMA130814.16	17	17.0oC (Soil)	
ELMA13081417	ELMA130814.17	17	17.0oC (Soil)	
ELMA13081418	ELMA130814.18	17	17.0oC (Soil)	
ELMA1308142	ELMA130814.2	17	17.0oC (Soil)	
ELMA1308143	ELMA130814.3	17	17.0oC (Soil)	
ELMA1308144	ELMA130814.4	17	17.0oC (Soil)	
ELMA1308145	ELMA130814.5	17	17.0oC (Soil)	
ELMA1308146	ELMA130814.6	17	17.0oC (Soil)	
ELMA1406051	ELMA140605.1	20.9	20.9oC (Soil)	
ELMA14060513	ELMA140605.13	20.9	N/A	20.9, -0.3 oC
ELMA14060517	ELMA140605.17	20.9	N/A	20.9, -0.3 oC
ELMA14060518	ELMA140605.18	20.9	N/A	20.9, -0.3 oC
ELMA14060522	ELMA140605.22	20.9	N/A	20.9, -0.3 oC
ELMA14060523	ELMA140605.23	20.9	N/A	20.9, -0.3 oC
ELMA14060527	ELMA140605.27	20.9	N/A	20.9, -0.3 oC
ELMA14060531	ELMA140605.31	20.9	N/A	20.9, -0.3 oC
ELMA14060532	ELMA140605.32	20.9	N/A	20.9, -0.3 oC
ELMA14060536	ELMA140605.36	20.9	N/A	20.9, -0.3 oC
ELMA14060540	ELMA140605.40	20.9	N/A	20.9, -0.3 oC
ELMA14060544	ELMA140605.44	20.9	N/A	20.9, -0.3 oC
ELMA14060547	ELMA140605.47	20.9	-0.3 oC	20.9
ELMA1406055	ELMA140605.5	20.9	20.9oC (Soil)	
ELMA1406059	ELMA140605.9	15.4	15.4oC (Soil)	
ELMA1406121	ELMA140612.1	21.1	21.1oC (Soil)	
ELMA14061213	ELMA140612.13	21.1		21.1, 18.3oC (Soil); last air temp taken at 0128 hours
ELMA14061217	ELMA140612.17	21.1		21.1, 18.3oC (Soil); last air temp taken at 0128 hours
ELMA14061221	ELMA140612.21	21.1		21.1, 18.3oC (Soil); last air temp taken at 0128 hours
