	FSS19F	JC2F	FUR1F	FSS217F	FSS221F	BAT4F	FUR5F	BRD2F	BAT1F	CLC5F	BRD3F	CLC2F	FS4F	CLC11F	FSS13F	FSS10F	FSS4F	FSS16F	FSS22F	JC8F	CLC8F	FS10F	FS7F	JC4F	FSS12071110	FSS1207114	FSS12071122	FSS1109241	FSS12071222	FSS11092467	FSS12071213	FSS12071216	FSS11092468	FSS1207111	FSS12071119	FSS11092477	FSS11092470	FSS12071204	FSS12071207	FSS12071201	FSS12071113	FSS1109245	FSS11092474	FSS12071219	FSS12071228	FSS12071210	FSS12071116	FSS1207117	FSS12071225	ELMA13081416	ELMA1308141	ELMA13081418	ELMA13081411	ELMA13081417	ELMA1308143	ELMA1308145	ELMA1308146	ELMA1308142	ELMA1308144	PARA14052533	ELMA14061233	PARA14052625	FS14050225	JC14041816	FSS14050317	ELMA14060527	ELMA14060517	ELMA14061217	PARA14052525	PARA14052513	ELMA1406055	JC1404181	ELMA14060518	ELMA14061221	ELMA1406121	PARA14052613	PARA1405269	PARA1405295	ELMA1406059	ELMA14060540	FSS1405039	FS1405021	PARA1405291	ELMA14060547	PARA14052529	PARA1405251	JC1404186	PARA1405261	ELMA14060522	PARA1405259	FSS14050313	PARA1405265	BAT1404181	PARA14052517	CLC1404207	FS1405029	ELMA14060523	ELMA1406125	PARA1405299	JC14041811	PARA1405241	BRD1404191	FS14050221	FS14050217	ELMA14061229	FSS1405021	PARA14052617	PARA14052813	PARA14052917	ELMA14060531	FSS1405035	PARA14052913	PARA14052629	ELMA1406051	FW1404211	ELMA14060544	PARA1405255	ELMA14061225	PARA14052921	PARA14052925	PARA1405285	ELMA14060513	PARA14052621	FS1405025	CLC1404201	ELMA14060532	PARA1405281	ELMA1406129	ELMA14061213	ELMA14060536	FS14050213	FSS1405031	ZL1404181	PARA1405289	PARA14052521	RSS14062113	CC14062037	CC14062013	CC14062025	CC1406201	CC14062017	RSS1406241	CC1406205	CC1406209	CC14062021	RSS1406215	RSS1406211	RSS1406245	WCS1406239	CC14062033	WCS1406235	WCS14062313	WCS1406231	CC14062029	RSS1406219	TOR14050437	TOR14050413	TOR14050441	TOR14050445	TOR14050425	TOR1405041	TOR1405049	TOR14050421	TOR14050429	TOR14050417	TOR14050433	TOR1405045	TOR14050449	CRY14050521	CRY14050513	CRY1405051	CRY1405059	CRY14050517	CRY1405055
k__Fungi;Other;Other;Other;Other	0	0	0.007058159	0.000102218	0	0	0	0	0.000224215	0	0	0	0.002092676	0	0	0	0.000332889	0.007464543	0.007044865	0	0	0	0	0	0.00117218	0	0	2.86E-05	9.92E-05	0	0	0.000443459	0	0	0.000336474	0	0	0	0	0	0.002223457	0	0.001163693	0	0	0	0	0.000218174	0	0	0	0	0.000497636	0	0	0	0	0.001555901	0	0.000355619	7.97E-05	0	0.010618305	0	0.00411251	0.000150716	0	0	0	0	0	0	0.00083647	0.000274348	8.87E-05	0.000350754	0	0.000189681	0.061567588	0	0.005204418	0.001118985	0	0.001328021	0.000241313	0	0	0	5.16E-05	0	0.000723589	0	0.000987492	6.42E-05	0	0.00152207	0.000417711	0	0.000136911	0	0.000434028	0	0.000232315	0.001491054	0	0	0	0.000476985	0.001169135	0.000904568	0.000364564	0.000789058	0	0.000938086	0.000316256	0	0	0.002357696	0.000289184	0.000136286	0.003498542	0	0	0.013218391	0.006979341	0.000532481	0	0	0.00182704	0	0.002802865	0	0.000379651	0	0	0	0.027622686	0.000169952	0	0.00012663	0	0	0.008500887	0.000165207	0.103372755	0	0	0	0.000803859	0	0	0	0.002716957	0.002542104	0	0.000414293	0	0.000572869	0.00156947	0.002081071	0	0	0	0.003323205	0.002078251	0.000945378	0.001591462	0.000418293	0.003774602	0.000474308	0.001161025	0.00065925	0.00312989	0.001709645
k__Fungi;p__Ascomycota;Other;Other;Other	0.056088934	0.325493885	0.147656691	0.256567515	0.083670715	0.870489803	0	0.025850785	0.136547085	0.929322218	0.029828262	0.445308311	0.160239163	0.074168798	0.39091586	0.062890625	0.033288948	0.153520776	0.073785688	0.135135135	0.068117581	0.735154394	0.007800312	0.01	0.036728315	0.008818984	0.015222702	0.096742815	0.013193136	0.017334304	0.036207241	0.014412417	0.001012317	0.025759365	0.009421265	0.001331558	0.012841988	0.047353224	0.032394996	0.025577125	0.012923847	0.001486436	0.00484872	0.046618705	0.000980942	0.034359661	0.012581621	0.011235955	0.008828596	0.018825301	0.00852694	0.00994513	0.34038318	0.042216359	0.006996845	0.117352941	0.085843861	0.175594577	0.028792913	0.019203414	0.934300749	0.559136213	0.969695546	0.990922198	0.944404955	0.015523738	0.454229029	0.064579256	0.990547074	0.753522999	0.053772767	0.232020292	0.112505228	0.039506173	0.948704295	0.072255349	0.75695784	0.054248862	0.911018554	0.316326531	0.94315619	0.030212607	0.816883117	0.024473534	0.397683398	0.08843361	0.722768384	0.110714286	0.972940873	0.389273988	0.056439942	0.060891938	0.200131666	0.960819577	0.03072445	0.18325723	0.037593985	0.0462022	0.842415115	0.3449802	0.06640625	0.061121965	0.79335579	0.041003976	0.080751651	0.018403318	0.562754004	0.039589793	0.087879969	0.081637268	0.014582574	0.0783798	0.713806766	0.111944966	0.055028463	0.337695853	0.291603053	0.032334119	0.081839213	0.933764906	0.151020408	0.051164432	0.029080334	0.051724138	0.021217197	0.060702875	0.085308057	0.062015504	0.113276492	0.054017556	0.004048583	0.014618865	0.043659833	0.224002728	0.080069324	0.365561821	0.013811343	0.003399048	0.009818008	0.568570343	0.004282116	0.535830166	0.798492017	0.000495622	0.004380201	0.022282146	0.005726184	0.005765318	0.006430868	0.012672665	0.575869726	0.004699928	0.008790155	0.578964093	0.031609797	0.939927499	0.962778699	0.895164986	0.954237568	0.978646399	0.959211823	0.552159859	0.961344983	0.975123433	0.960693955	0.977205882	0.978468452	0.968627998	0.960186933	0.974071146	0.883629544	0.977667903	0.875251509	0.971078501
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae	0.001263264	0	0.01863354	0.000102218	0	0	0	0	0.001345291	0	0	0.001340483	0	0	0.037230082	0	0	0.000746454	0.009269559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000586338	0	0	0	0	0	0.001778094	0.000159464	0	0	0	0	0	0	0.001174168	0	0.000265887	0.000433651	0	0	0.000274348	8.87E-05	0	0	0	0.000151458	0.00024888	0	0	0.000118064	0.002466325	0	0.001037344	0.005243151	0	0	0.000729661	0.001808973	0.110634648	0	0	0	0	0.002506266	0	0	0	0.002170139	0.014233882	0	0	0	0.002073613	0	0.001430956	0	0	0	0	0	0.000312695	0.007590133	0.001658986	0.00610687	0.003031324	0.008097166	0	0	0.000705716	0.014540167	0	0	0	0.000278784	0	0.000609013	0	0	0	0.001138952	0.003068531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001084599	0.000159821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;Other;Other	0.069984841	0.007055503	0.235742518	0.002964326	0.019568151	0	0	0.009489529	0	0.000906125	0.016571256	0.00536193	0.000298954	0.027173913	0.003226607	0	0.015978695	0.014431451	0.008527994	0	0.011588468	0	0.062402496	0.07	0.000781454	0.015365033	0.004322496	0.019168324	0.006943756	0.016023307	0.00480096	0.052882483	0	0.034023827	0.0237214	0	0.028289596	0.031376323	0.001340483	0.006164743	0.063368538	0	0.006012413	0.038417266	0.06684417	0.002677376	0.190555821	0.00927239	0.130921619	0.011596386	0.005066733	0.002400549	0.033341627	0.068601583	0.002743861	0.000588235	0.029802397	0.018448544	0.009966777	0.01742532	0.001594642	0.000221484	0	0	0.000101543	0.000452148	0.003480682	0.046183953	0.000108654	0.010635469	0.00650477	0	0.016729402	0.032098765	0.000354988	0.176780077	0	0.002086495	0.000530102	0.018168243	0.000578269	0.044759418	0.004368359	0.008347562	0.044642857	0.002852697	0.000262158	0.020238095	0.000309837	0.043597227	0.030752533	0.007718696	0.003949967	0.000192691	0.010672704	0.005175038	0.020467836	0.000523834	0.001642935	0.000349406	0.026909722	0.02874686	0.008479498	0.085238569	0.015490096	0.009849663	0	0.005008347	0.024551832	0.007688829	0.038279256	0.015255129	0.000761963	0.027204503	0.229917774	0.003133641	0.093129771	0.028965982	0.004916136	0.000272572	0.006997085	0.022230064	0.034169393	0.210344828	0.081518705	0.095846645	0.001672707	0.024978467	0.020706456	0.030047265	0.148240424	0.005569092	0.030372058	0.054892601	0.054419411	0.001650392	0.0035263	0.069170632	0.0026341	0.001013043	0.000251889	0.000927042	0.001700177	0.01552949	0	0.002128867	0.00954364	0.001130454	0.010450161	0.000253453	0.001665433	0.010484454	0.007032124	0	0.000418673	0	0	0	0	0	0	0	0	9.49E-05	0	0	0	0	0.0006291	0	0	8.24E-05	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010037641	0	0	0	0	0	0	0	0	0	0.000826446	0	0	0	0	0.000396825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000625391	0	0	0	0	0	0	0.019241983	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000693241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Aplosporellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001118985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003976143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018390805	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013766145	0	0	0	0	0	0.005121427	0	0.000425773	0.005726184	0	0	0	0	0	0.000479463	0	0.000628009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae	0	0	0	0	0.000674764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002309913	0	0	0	0	0	0.00618705	0	0	0	0	0.000645995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000867303	0	0	0.000274348	0.000266241	0	0	0	0	0	0	0.001864976	0	0	0	0	0	0	0	0	0.005426918	0	0	0	0.000323415	0	0	0	0	0	0	0	0.00278778	0.002733598	0	0.000518403	0	0	0	0.000678426	0.001822822	0	0	0	0	0	0.003053435	0.001347255	0	0	0	0	0	0	0	0.00372737	0	0	0	0.002025658	0.00560573	0.000348068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000867604	0	0.000803859	0	0	0	0.000319642	0	0	0	0	0	0	0	0	0	0	0	0	0	9.36E-05	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriales_fam_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001097394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000265887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000965251	0	0	0.000793651	0.000103279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000238493	0	0.000226142	0	0	0	0	0	0	0	0	0	0	0.002332362	0	0	0	0	0	0	0.006890612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;Other	0.234461849	0.015522107	0.236871824	0.017785955	0.057354926	0.004531985	0.000223065	0.105693717	0.036098655	0.005617978	0.025911419	0.022520107	0.006875934	0.076086957	0.012410027	0	0.035952064	0.070415526	0.0441231	0	0.00508762	0	0.012480499	0.065	0.002344361	0.007364306	0.000281902	0.021013632	0.001884734	0	0	0.00654102	0	0.006010518	0.004205922	0.022446262	0.002605621	0.002309913	0.008266309	0.007017314	0.003057254	0	0.000581846	0.010647482	0.002942825	0.005354752	0.007485268	0.009926912	0.002799311	0.014307229	0.006920415	0.001371742	0.029858174	0.023160364	0.005350528	0.001470588	0.016520894	0.042898422	0.006367663	0.022048364	0.0258332	0	0	0	5.08E-05	0.009042954	0.053602506	0.025048924	0.000162981	0.005849508	0.040329575	0.001939719	0.264742785	0.046364883	0.002129925	0.267625395	0	0.000569044	0.00204468	0.042807367	0.000404788	0.011935845	0.000826446	0.086131664	0.015685328	0.002074689	0.003539127	0.068253968	0.001084431	0.001641737	0.003617945	0.038021727	0.0520079	0.000513842	0.031371281	0.000456621	0.207184628	0.000209534	0.005613363	0.004076403	0.083333333	0.022606754	0.000116158	0.008697813	0.327323514	0.011664075	0.000119531	0.001430956	0.019485581	0.013116237	0.001822822	0.014203051	7.62E-05	0.240775485	0.016129032	0.020645161	0.008396947	0.179858538	0.011278195	6.81E-05	0.052478134	0.010938603	0.299890949	0.165517241	0.002791736	0.134185304	0.042375244	0.156330749	0.191230207	0.03679946	0.014948614	0.010790115	0.214882308	0.034776679	0.194800693	0	0	0.00067981	0	0	0	9.27E-05	0	0.000165207	0.003066141	0.000709622	0.001908728	0.009721908	0	0	0	0.002892263	0.004155346	0.000158881	0.000837346	0	0	0	0	0	0	0.000146929	0	0	0	0	0	0	0	0	0	0	0.000223564	0.00014247
