SampleID	Original_name	species	Bat Number	spec_abbv	sex	area	sampling_site	cave_or_surface	state	ecoregion_iv	season	elevation	evl_source	mean_precip_cm	precip_source	npp	npp_source	log_npp	avg_dissm	mean_dist_km	Feeding Flight behavior	Diet	Date	Month	month_cat	Year	Forearm	Mass	SurfaceArea	Mean Aspect Ratio
BAT1404181	BAT140418.1	Corynorhinus townsendii	NM14005	COTO	Female	ELMA	Bat	Cave	NM	Lava Malpais	Spring	2222	USGS NED1	28.5	Worldclim 2_5 arc min	0.19	MOD17A3	-0.721246399	0.8980035477	550.4853468423	Aerial hawking	moths	4182014	4	April	2014	45	9.25	208.3305555556	5.6
BAT1F	BAT1B	Corynorhinus townsendii	NM1207	COTO	Female	ELMA	Bat	Cave	NM	Lava Malpais	Spring	2222	USGS NED1	28.5	Worldclim 2_5 arc min	0.19	MOD17A3	-0.721246399	0.8374529409	550.4853468423	Aerial hawking	moths	4172012	4	April	2012	45	9.75	219.5916666667	5.6
BAT4F	BAT4B	Corynorhinus townsendii	NM1208	COTO	Female	ELMA	Bat	Cave	NM	Lava Malpais	Spring	2222	USGS NED1	28.5	Worldclim 2_5 arc min	0.19	MOD17A3	-0.721246399	0.8765765097	550.4853468423	Aerial hawking	moths	4172012	4	April	2012	44	8.5	187.1931818182	5.6
BRD1404191	BRD140419.1	Corynorhinus townsendii	NM14007	COTO	Female	ELMA	Braided	Cave	NM	Lava Malpais	Spring	2291	USGS NED1	29	Worldclim 2_5 arc min	0.42	MOD17A3	-0.3767507096	0.9051923565	295.9247983471	Aerial hawking	moths	4192014	4	April	2014	45	9.25	208.3305555556	5.6
BRD2F	BRD2F	Lasionycteris noctivagans	NM1101	LANO	Male	ELMA	Braided	Cave	NM	Lava Malpais	Spring	2291	USGS NED1	29	Worldclim 2_5 arc min	0.42	MOD17A3	-0.3767507096	0.9252426068	295.9247983471	Aerial hawking	generalist	3282011	3	March	2011	34	4.25	72.375	6.6
BRD3F	BRD3B	Corynorhinus townsendii	NM1202	COTO	Female	ELMA	Braided	Cave	NM	Lava Malpais	Spring	2291	USGS NED1	29	Worldclim 2_5 arc min	0.42	MOD17A3	-0.3767507096	0.919907781	295.9247983471	Aerial hawking	moths	4162012	4	April	2012	45	9.25	208.3305555556	5.6
CC1406201	CC140620.1	Myotis velifer	NM14045	MYVE	Male	CCNP	Lefthand Tunnel	Cave	NM	Chihuahuan Desert Slopes	Spring	1330	USGS NED1	27.4	Worldclim 2_5 arc min	0.18	MOD17A3	-0.7447274949	0.9146048014	269.3227602004	Aerial hawking	generalistbeetles	6202014	6	June	2014	44	12.75	280.7897727273	4.13
CC14062013	CC140620.13	Myotis thysanodes	NM14055	MYTH	Female	CCNP	Lefthand Tunnel	Cave	NM	Chihuahuan Desert Slopes	Summer	1330	USGS NED1	27.4	Worldclim 2_5 arc min	0.18	MOD17A3	-0.7447274949	0.9287220683	269.3227602004			6202014	6	June	2014	46	10.75	247.4836956522	3.81
CC14062017	CC140620.17	Myotis thysanodes	NM14057	MYTH	Female	CCNP	Lefthand Tunnel	Cave	NM	Chihuahuan Desert Slopes	Summer	1330	USGS NED1	27.4	Worldclim 2_5 arc min	0.18	MOD17A3	-0.7447274949	0.9145278297	418.5404549957			6202014	6	June	2014	45	10.25	230.8527777778	3.81
CC14062021	CC140620.21	Myotis thysanodes	NM14047	MYTH	Male	CCNP	Lefthand Tunnel	Cave	NM	Chihuahuan Desert Slopes	Summer	1330	USGS NED1	27.4	Worldclim 2_5 arc min	0.18	MOD17A3	-0.7447274949	0.8980504172	418.5404549957			6202014	6	June	2014	43	7.5	161.4244186047	3.81
