	FSS11092477
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae	0.561156553
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae	0.20429903
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae	0.033859616
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Gymnoascaceae	0.031386722
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	0.025109378
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified	0.024728933
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;Other	0.022446262
k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified	0.020353814
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Lentariaceae	0.01559825
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae	0.012174244
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;Other	0.009891573
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis	0.009130683
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae	0.008560015
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__unidentified	0.00665779
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.005136009
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenales_fam_Incertae_sedis	0.004755564
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae	0.001902226
k__Fungi;p__Ascomycota;Other;Other;Other	0.001331558
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other	0.000951113
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified	0.000380445
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.000190223
k__Fungi;Other;Other;Other;Other	0
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;Other;Other	0
